Restrição de Atendimento;Nome;Código INEP;UF;Município;Localização;Localidade Diferenciada;Categoria Administrativa;Endereço;Telefone;Tipo;Categoria Escola Privada;Conveniada Poder Público;Regulamentação pelo Conselho de Educação;Porte da Escola;Etapas e Modalidade de Ensino Oferecidas;Outras Ofertas Educacionais;Latitude;Longitude;Lat tratada;Long tratada;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PADRE MARIO BLANDINO;50006061;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA PLINIO MENDES DOS SANTOS, 91 CONJUNTO AERO RANCHO. 79084-090 Campo Grande - MS.;(67) 991307709;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado;-205.207.565;-546.490.136;-205.207.565;-546.490.136;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PROFª IZAURA HIGA;50006070;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA INCONFIDENTE, 348 VILA CIDADE MORENA. 79064-130 Campo Grande - MS.;(67) 996005934;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atividade Complementar;-205.551.886;-54.586.789;-205.551.886;-54.586.789;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PROFª ALICE NUNES ZAMPIERE;50006088;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA CONSTANTINOPLA, S/N JARDIM PANAMA. 79112-180 Campo Grande - MS.;(67) 33147051;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-204.392;-5.465.864;-204.392;-5.465.864;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PROFª CELIA MARIA NAGLIS;50006096;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA BAGUARI, 28 VILA MORENINHA III. 79065-290 Campo Grande - MS.;(67) 33149012;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-205.553.424;-545.723.869;-205.553.424;-545.723.869;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PROF EMYGDIO CAMPOS WIDAL;50006100;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA BOM PASTOR, 460 VILA VILAS BOAS. 79051-220 Campo Grande - MS.;(67) 30269329;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;Atividade Complementar;-204.821.277;-545.951.571;-204.821.277;-545.951.571;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PROFª MARIA DE LOURDES TOLEDO AREIAS;50006118;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ARACY PEREIRA DE MATOS, S/N CONJUNTO ROUXINOIS. 79063-280 Campo Grande - MS.;(67) 33141259;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-205.266.361;-545.833.493;-205.266.361;-545.833.493;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEEP PROFª MARIA DE LOURDES WIDAL ROMA;50006126;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ANACA, 780 MORENINHAIII. 79065-070 Campo Grande - MS.;(67) 993319372;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Médio, Educação Profissional;;-205.570.869;-545.735.038;-205.570.869;-545.735.038;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA ESTADUAL PROF SEVERINO DE QUEIROZ;50006169;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA SAO PAULO, 1103 VILA ROSA. 79010-050 Campo Grande - MS.;(67) 33141263;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Médio;;-204.472;-5.460.357;-204.472;-5.460.357;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;ESCOLA ESTADUAL PROF SILVIO OLIVEIRA DOS SANTOS;50006177;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA PEDRO SOARES DE SOUZA, 154 CONJUNTO AERO RANCHO. 79085-030 Campo Grande - MS.;(67) 993311671;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-2.052.943;-5.465.832;-2.052.943;-5.465.832;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PROF ULISSES SERRA;50006185;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA PRINCIPAL I, S/N NUCLEO INDUSTRIAL. 79108-550 Campo Grande - MS.;(67) 33911124;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-2.047.969;-5.475.294.167;-2.047.969;-5.475.294.167;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PROFª BRASILINA FERRAZ MANTERO;50006207;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA TAMOIO, 260 JARDIM LEBLON. 79092-040 Campo Grande - MS.;(67) 33146057;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atividade Complementar;-204.937.154;-54.652.547;-204.937.154;-54.652.547;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE RUI BARBOSA;50006215;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA JOAO THOMAZ, 222 SANTO ANTONIO. 79100-350 Campo Grande - MS.;(67) 33147052;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-204.573;-546.549.483;-204.573;-546.549.483;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE SEBASTIAO SANTANA DE OLIVEIRA;50006223;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ARMANDO HOLANDA, 318 CONJUNTO JOSE ABRAO. 79114-050 Campo Grande - MS.;(67) 33147061;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-20.417.737;-546.623.208;-20.417.737;-546.623.208;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE TEOTONIO VILELA;50006231;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA SOUZA LIMA, 506 NUCLEO HABITACIONAL UNIVERSITARIAS II. 79071-340 Campo Grande - MS.;(67) 33145636;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-2.053.639;-5.461.918;-2.053.639;-5.461.918;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE WALDEMIR BARROS DA SILVA;50006240;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA PALMACIA, 1095 VILA MORENINHA II. 79065-140 Campo Grande - MS.;(67) 33149014;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atividade Complementar;-205.496.841;-545.766.129;-205.496.841;-545.766.129;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE CORACAO DE MARIA;50006274;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DOUTOR ANIBAL DE TOLEDO, 420 VILA SANTA DOROTHEIA. 79004-060 Campo Grande - MS.;(67) 993266891;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atividade Complementar;-204.795.454;-546.113.155;-204.795.454;-546.113.155;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE GAL MALAN;50006282;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA AMANDO DE OLIVEIRA, 595 AMAMBAI. 79008-010 Campo Grande - MS.;(67) 33141230;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-2.046.668.815;-5.463.395.915;-2.046.668.815;-5.463.395.915;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE ANTONIO DELFINO PEREIRA E C CULT ED TIA EVA;50006290;MS;Campo Grande;Urbana;Área remanescente de quilombos;Pública;RUA EVA MARIA DE JESUS, SN JARDIM SEMINARIO. 79118-732 Campo Grande - MS.;(67) 33658006;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado;-2.042.536.629;-5.461.612.523;-2.042.536.629;-5.461.612.523;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM NICOLAU FRAGELLI;50006304;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA EULER DE AZEVEDO, 116 SAO FRANCISCO. 79116-610 Campo Grande - MS.;(67) 20204194;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atividade Complementar;-204.430.504;-546.206.918;-204.430.504;-546.206.918;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE ORCIRIO THIAGO DE OLIVEIRA;50006312;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA SENADOR PONCE, S/N VILA PROGRESSO. 79050-220 Campo Grande - MS.;(67) 33145632;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos;Atendimento Educacional Especializado, Atividade Complementar;-204.901.297;-546.051.287;-204.901.297;-546.051.287;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PROFª FAUSTA GARCIA BUENO;50006320;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA CARLOS SCARDINE, 138 COOPHASUL. 79117-160 Campo Grande - MS.;(67) 33147060;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos;Atividade Complementar;-204.233.407;-546.344.766;-204.233.407;-546.344.766;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE SAO FRANCISCO;50006339;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DOUTOR EULER DE AZEVEDO, 500 SAO FRANCISCO. 79118-000 Campo Grande - MS.;(67) 33214527;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-204.401.986;-54.622.907;-204.401.986;-54.622.907;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE SAO JOSE;50006347;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DOUTOR ARTHUR JORGE, 1762 VILA ROSA PIRES. 79010-210 Campo Grande - MS.;(67) 33141242;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atividade Complementar;-2.045.047.544;-5.460.795.435;-2.045.047.544;-5.460.795.435;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE 11 DE OUTUBRO;50006355;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA PORTO BATISTA, 29 JARDIM BONANCA. 79092-153 Campo Grande - MS.;(67) 998687072;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-204.934.777;-546.605.245;-204.934.777;-546.605.245;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE 26 DE AGOSTO;50006363;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA RUI BARBOSA, 4580 CENTRO. 79002-367 Campo Grande - MS.;(67) 33147063;Estadual;Não Informado;Não;Sim;Entre 51 e 200 matrículas de escolarização;Ensino Fundamental, Ensino Médio;;-20.445.274;-54.617.251;-20.445.274;-54.617.251;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE ADVENTOR DIVINO DE ALMEIDA;50006371;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA JULIO DE CASTILHO, 841 VILA ALBA. 79100-005 Campo Grande - MS.;(67) 33147055;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atividade Complementar;-204.586.948;-546.387.478;-204.586.948;-546.387.478;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE AMANDO DE OLIVEIRA;50006380;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA TUPA, SN PORTAO DE ENTRADA. VILA PIRATININGA. 79081-140 Campo Grande - MS.;(67) 33464004;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-204.979.875;-546.291.471;-204.979.875;-546.291.471;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE ARLINDO DE SAMPAIO JORGE;50006398;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA PARIRIS, 360 VILA MORENINHA II. 79065-080 Campo Grande - MS.;(67) 33149011;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos;Atendimento Educacional Especializado, Atividade Complementar;-205.565.064;-545.775.326;-205.565.064;-545.775.326;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE JOAQUIM MURTINHO;50006410;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;AVENIDA AFONSO PENA, 2445 CENTRO. 79002-073 Campo Grande - MS.;(67) 33846124;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-204.627.765;-546.130.972;-204.627.765;-546.130.972;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE MANOEL BONIFACIO NUNES DA CUNHA;50006436;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ITAOCA, 196 JARDIM TARUMA. 79097-400 Campo Grande - MS.;(67) 33733840;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado;-205.427.533;-546.690.207;-205.427.533;-546.690.207;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE MARIA CONSTANCA BARROS MACHADO;50006444;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA MARECHAL RONDON, 451 AMAMBAI. 79008-000 Campo Grande - MS.;(67) 33141239;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-20.461.115;-54.627.285;-20.461.115;-54.627.285;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE OLINDA CONCEICAO TEIXEIRA BACHA;50006452;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DAS CAMELIAS, 1446 NUCLEO HABITACIONAL BURITI. 79091-020 Campo Grande - MS.;(67) 33146062;Estadual;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-204.939.353;-546.691.536;-204.939.353;-546.691.536;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PADRE JOSE SCAMPINI;50006460;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DO PORTO, 220 COOPHAVILA II. 79097-160 Campo Grande - MS.;(67) 93172586;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio;;-20.536.126;-546.698.779;-20.536.126;-546.698.779;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE PROFª DELMIRA RAMOS DOS SANTOS;50006479;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DOS RECIFES, 371 COOPHAVILA II. 79097-050 Campo Grande - MS.;(67) 33734789;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-205.345.589;-546.732.953;-205.345.589;-546.732.953;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EE VESPASIANO MARTINS;50006495;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA TREZE DE MAIO, 1516 VILA GLORIA. CENTRO. 79004-422 Campo Grande - MS.;(67) 33262447;Estadual;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Ensino Fundamental, Ensino Médio;Atendimento Educacional Especializado, Atividade Complementar;-20.471.919;-546.140.877;-20.471.919;-546.140.877;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;CEEP HERCULES MAYMONE;50006509;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA JOAQUIM MURTINHO, 2612 ITANHANGA PARK. 79003-020 Campo Grande - MS.;(67) 33141277;Estadual;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Ensino Fundamental, Ensino Médio, Educação Profissional;Atividade Complementar;-204.706.448;-545.894.973;-204.706.448;-545.894.973;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM CARLOS VILHALVA CRISTALDO;50006525;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA PADUA GAZAL, 13 JARDIM AEROPORTO. 79106-200 Campo Grande - MS.;(67) 20204006;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental, Educação de Jovens Adultos;Atendimento Educacional Especializado, Atividade Complementar;-20.446.569;-546.864.381;-20.446.569;-546.864.381;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM CEL ANTONINO;50006533;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DOUTOR MEIRELES, 1401 CORONEL ANTONINO. 79011-060 Campo Grande - MS.;(67) 20204010;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-2.043.101.581;-5.459.902.682;-2.043.101.581;-5.459.902.682;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM CEL SEBASTIAO LIMA;50006541;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA DOUTOR JAIR GARCIA, 215 VILA SERRADINHO. 79104-010 Campo Grande - MS.;(67) 20204013;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-204.574.894;-546.844.649;-204.574.894;-546.844.649;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM DR TERTULIANO MEIRELLES;50006550;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA ANICETO DA COSTA RONDON, 336 CAICARA. 79090-291 Campo Grande - MS.;(67) 20204024;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-2.048.281.454;-5.464.768.144;-2.048.281.454;-5.464.768.144;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM ETALIVIO PEREIRA MARTINS;50006568;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA SAO LEOPOLDO, 53 MONTE CASTELO. 79010-380 Campo Grande - MS.;(67) 20204030;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atividade Complementar;-204.381.478;-5.460.754.286;-204.381.478;-5.460.754.286;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM IMACULADA CONCEICAO;50006576;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;TRAVESSA BORNEU, 54 JARDIM BATISTAO. 79094-510 Campo Grande - MS.;(67) 20204039;Municipal;Não Informado;Não;Sim;Mais de 1000 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-205.229.213;-546.605.463;-205.229.213;-546.605.463;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM JOAO DE PAULA RIBEIRO;50006584;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA QUATORZE DE JULHO, 5140 MONTE CASTELO. 79011-470 Campo Grande - MS.;(67) 20204046;Municipal;Não Informado;Não;Sim;Entre 501 e 1000 matrículas de escolarização;Ensino Fundamental;Atividade Complementar;-204.349.168;-546.167.617;-204.349.168;-546.167.617;;;;
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO;EM JOAO NEPOMUCENO;50006592;MS;Campo Grande;Urbana;A escola não está em área de localização diferenciada;Pública;RUA BRIGADEIRO TOBIAS, 701 TAQUARUSSU. 79006-600 Campo Grande - MS.;(67) 20204050;Municipal;Não Informado;Não;Sim;Entre 201 e 500 matrículas de escolarização;Educação Infantil, Ensino Fundamental;Atendimento Educacional Especializado, Atividade Complementar;-2.047.996.342;-5.463.378.925;-2.047.996.342;-5.463.378.925;;;;
